Name,Cash_Balance
offendedChough5,password,32412
shyGnu8,password,73202
sincereMoth7,password,62651
awedSyrup4,password,75020
alertChamois7,password,88246
gloomyEggs9,password,64942
excludedAbalone8,password,97311
needyPonie9,password,73404
grizzledDoughnut7,password,4612
alertPear7,password,89667
zestyPie7,password,84606
insecureBass3,password,15082
pacifiedWhiting6,password,45983
lazySnipe6,password,50633
mereBuck6,password,13326
jubilantChamois4,password,34756
mildMandrill7,password,23411
lovesickMackerel9,password,11255
ardentBittern9,password,53002
boredPepper8,password,61674
lyingStork5,password,94034
lyingPonie1,password,81901
shyDinosaur1,password,94539
chicHyena0,password,54390
obsessedToucan0,password,57776
pleasedPie8,password,94116
solidLion5,password,44985
affectedHare0,password,97002
peskyMussel2,password,73639
grudgingOtter8,password,30607
somberMackerel8,password,85174
importedSheep2,password,45261
peacefulFlamingo2,password,53181
excitedEagle0,password,31523
wingedGranola5,password,19850
needfulDotterel8,password,43647
mereMacaw8,password,88479
enragedTuna6,password,21590
worriedSnipe6,password,66376
wingedCockatoo8,password,61640
boastfulCow2,password,3869
thrilledAntelope6,password,39645
amusedRuffs4,password,76830
pridefulThrush2,password,42671
excitedOtter9,password,85872
importedMackerel0,password,65957
dearSardines6,password,79813
unhappyTortoise1,password,20632
ferventLapwing7,password,90572
adoringApricots8,password,71389
ashamedCaviar0,password,49458
drearyMoth6,password,62166
brainyTermite2,password,47775
wornoutSalt9,password,93099
dopeyBagels4,password,34543
exactingCoconut2,password,3512
culturedDoves8,password,89351
thrilledCheese7,password,39955
drearyPonie4,password,72584
awedPaella8,password,26218
empathicEland2,password,44825
brainyAntelope3,password,93712
shamefulAbalone5,password,59233
euphoricIcecream1,password,70363
abjectBuck3,password,81241
alertSnipe0,password,59709
superiorHoopoe1,password,31419
murkyMandrill9,password,53106
superiorTuna7,password,97427
amazedTuna9,password,6509
pacifiedSmelt1,password,21513
dejectedThrush7,password,19357
kindChamois8,password,94014
brainyLlama6,password,87803
grudgingHoopoe4,password,59025
dearApples2,password,98045
selfishPolenta0,password,85155
gutturalMoth0,password,34044
mereThrush5,password,88349
annoyedSalt8,password,47978
curiousMoth3,password,83857
debonairGnu3,password,16031
debonairLeopard0,password,84883
bubblyOil5,password,41931
zestyCow1,password,83679
offendedHoopoe9,password,60982
mereAbalone4,password,49286
needyPretzels9,password,53589
lovesickViper1,password,21876
shamefulApricots1,password,28378
resolvedCheetah9,password,91165
jealousCardinal5,password,18572
innocentPorpoise2,password,54385
mereSwift2,password,73304
ardentFerret9,password,67087
enragedCurlew3,password,62430
cautiousFalcon0,password,70917
thriftyMussel1,password,13963
scornfulWasp7,password,34482
wingedGnu6,password,35066
culturedSyrup9,password,27201
sadCrackers7,password,26410
soreWidgeon5,password,71153
truthfulChamois2,password,1428
troubledLizard6,password,92682
solidCockatoo5,password,7150
blissfulStork4,password,7618
debonairTacos9,password,42945
kindDove0,password,8739
drearyLocust9,password,28123
tautSnail7,password,52801
contentCrackers8,password,90185
finickyGelding7,password,16872
artisticWildfowl8,password,97410
similarCrackers3,password,27787
dearFalcon0,password,94015
ashamedCamel0,password,7584
grudgingKitten9,password,59253
dejectedCake6,password,71185
euphoricDingo9,password,52436
pleasedOrange1,password,70526
chicLizard4,password,70042
forsakenCrackers2,password,80945
superiorCrane0,password,44713
contentMallard8,password,57257
drearyCurlew8,password,27659
awedSausage1,password,56171
artisticLapwing1,password,50575
peskyCur6,password,45369
debonairJerky5,password,28217
amazedDingo9,password,3299
holisticFalcon2,password,22101
excitedKitten4,password,46347
dearBoa8,password,26083
yearningDoves9,password,27814
wakefulQuiche7,password,90781
solidPaella5,password,34961
boastfulBuzzard0,password,74823
scornfulHare7,password,40457
sadMussel9,password,40934
innocentMallard8,password,49581
annoyedWigeon4,password,27589
panickyDoughnut9,password,9842
needfulOrange7,password,73459
sheepishMoth2,password,36637
ardentTruffle4,password,99267
cautiousCamel1,password,29458
aboardToucan4,password,54748
solidMagpie3,password,16912
crushedTeal5,password,35406
dejectedKitten7,password,70939
troubledVenison9,password,71163
worldlyCoconut2,password,36922
gloomySnipe9,password,58492
boastfulSalt6,password,71887
sugaryBass1,password,77402
brainyRuffs7,password,36480
holisticRhino6,password,1995
offendedPaella6,password,86057
cynicalLizard7,password,91753
annoyedKitten1,password,8274
blissfulApricots6,password,74777
alertCod3,password,2122
finickyKitten8,password,56130
alertOatmeal3,password,6194
jealousDoughnut4,password,7248
dearOtter6,password,14319
annoyedViper5,password,2912
sincereLeopard5,password,91861
blissfulPoultry3,password,68129
decimalLard4,password,11267
grumpyOil7,password,91252
tautHeron9,password,62232
aloofHoopoe2,password,34720
abjectOrange8,password,66177
debonairBagels6,password,66710
lazyIguana3,password,46483
vengefulDinosaur3,password,20355
abjectEggs3,password,18293
gloomyJaguar5,password,87073
importedGarlic3,password,73555
enragedSwift7,password,85929
solemnRhino5,password,46637
lazyAntelope7,password,12566
cheerfulFalcon4,password,26345
innocentBagels7,password,79456
aboardRhino7,password,62172
sugaryTermite7,password,47222
needyBagels0,password,47660
insecureDingo7,password,20591
forsakenWildfowl8,password,70651
grizzledMandrill8,password,38813
needySeagull6,password,13447
vengefulLizard3,password,20713
kindVenison1,password,67294
thriftySalami0,password,6490
spiritedMare3,password,39770
trustingFlamingo2,password,98920
needfulPudding2,password,10946
abjectDoughnut0,password,8804
superiorCaviar7,password,11892
gloomyMoth6,password,74271
adoringRat4,password,49122
amazedBaboon5,password,36659
sadFalcon6,password,50194
aboardApples0,password,43010
wakefulSnipe6,password,36034
emptyHawk2,password,51797
pridefulMackerel9,password,42976
dopeyGelding3,password,92381
yearningTeal5,password,81093
gleefulFerret1,password,29152
contentApples5,password,79680
contentSardines8,password,33532
resolvedCrackers9,password,36844
needfulCamel9,password,84272
outlyingEggs6,password,40977
ashamedMandrill9,password,10547
similarSeahorse2,password,15986
worldlyLard6,password,53094
similarBass5,password,77168
aloofLion0,password,45023
crummyOil2,password,6781
zestyPlover5,password,3934
puzzledCardinal3,password,31694
lazyRhino6,password,94355
bubblyIcecream4,password,76665
worldlySausage8,password,48837
lyingTermite3,password,29614
unhappyPoultry8,password,53516
amusedPiglet5,password,33522
finickySeahorse3,password,13671
yearningTortoise0,password,39175
truthfulGelding9,password,48173
betrayedCaribou5,password,96560
resolvedHyena5,password,33433
lovesickChile2,password,41538
worriedKitten0,password,34127
scornfulTruffle7,password,61502
solemnWeaver8,password,22457
morbidFerret9,password,27406
outlyingCake3,password,1517
morbidSalt0,password,64230
ferventCow7,password,99496
somberZebra8,password,85459
contentMoth2,password,92853
superiorTomatoe4,password,9859
mellowSeahorse6,password,83362
wearyPie7,password,96010
wakefulWidgeon1,password,85035
truthfulDinosaur3,password,87627
scornfulVenison3,password,89073
emptyOwl0,password,83759
sugaryCow8,password,39189
excludedPup7,password,18831
truthfulCurlew0,password,36154
murkySausage1,password,61270
lyingMoth9,password,56743
joyfulSyrup3,password,77044
panickyPup3,password,42513
ardentEggs6,password,69886
selfishLizard9,password,18413
solidAbalone9,password,20180
worriedLollies5,password,17542
sheepishOtter7,password,13016
empathicPiglet2,password,91069
importedOatmeal9,password,3632
worriedIguana1,password,32702
eagerMacaw5,password,47928
gloomyPepper3,password,80396
jealousZebra3,password,73817
abjectTortoise2,password,77134
cautiousApples4,password,67788
betrayedBagels3,password,42125
wornoutLizard5,password,71161
betrayedRice7,password,52227
enviousRat2,password,87276
sincereMallard8,password,89676
worriedPonie4,password,87490
pridefulGnu0,password,94052
unhappyFlamingo7,password,82595
euphoricPie2,password,48997
pleasedChough3,password,91416
curiousSausage8,password,30067
holisticPiglet8,password,16135
peacefulWeaver2,password,79699
humorousCheetah2,password,43908
crushedOwl9,password,4981
ferventMallard6,password,52724
shamefulDoves8,password,71236
dejectedViper3,password,92748
needfulCaviar6,password,77458
shyTuna7,password,69433
mellowBuck9,password,19098
gutturalQuiche3,password,93184
adoringHare0,password,58593
euphoricTacos1,password,35073
lazyCow5,password,7583
anxiousPie9,password,19027
insecureRice4,password,87804
needfulUnicorn4,password,99865
worldlyMeerkat4,password,67472
dreadfulHyena6,password,56530
excludedVenison6,password,66642
sincereSeafowl8,password,81603
cockyCamel3,password,46866
wornoutWasp7,password,12589
stressedDinosaur4,password,14914
bubblyRelish0,password,25469
mercifulToucan6,password,38148
stressedGarlic9,password,52661
offendedCake4,password,60394
ashamedCockatoo5,password,1870
sugaryAbalone2,password,63873
annoyedAbalone2,password,66457
betrayedJaguar6,password,19163
solidPlover5,password,98581
enragedTortoise3,password,63514
euphoricLizard4,password,99005
affectedLion6,password,15489
grumpyBagels0,password,30973
relievedOwl0,password,80854
shamefulDotterel6,password,63005
puzzledApricots0,password,11109
thriftyChile6,password,51828
drearyCaviar9,password,21941
exactingBobolink7,password,22190
unhappyHare8,password,49344
solemnSheep8,password,37070
gloomyEland7,password,7859
hushedOil0,password,34640
